Product Name,Category,Region,Quantity,Sales,Profit
Headphones,Accessories,West,3,2529,285.65
Tablet,Electronics,West,1,105,27.36
Keyboard,Accessories,South,9,1764,417.95
Laptop,Electronics,West,9,3078,285.05
Monitor,Accessories,West,3,2610,740.21
Mouse,Accessories,East,5,5615,715.58
Printer,Office,South,5,5515,330.02
Smartwatch,Electronics,South,1,495,55.17
Smartwatch,Electronics,West,6,5310,1099.84
Camera,Electronics,East,1,706,153.59
Monitor,Accessories,West,4,2368,361.02
Smartwatch,Electronics,West,2,1750,103.99
Laptop,Electronics,South,3,723,115.25
Keyboard,Accessories,East,6,6780,1794.97
Printer,Office,West,8,5168,672.6
Monitor,Accessories,North,3,1245,119.11
Laptop,Electronics,East,5,1160,227.13
Camera,Electronics,East,6,5316,782.42
Smartphone,Electronics,North,5,4255,961.41
Camera,Electronics,North,1,812,51.13
Keyboard,Accessories,West,8,3216,639.78
Smartphone,Electronics,North,4,2640,183.23
Keyboard,Accessories,West,3,438,67.43
Keyboard,Accessories,West,3,1983,453.09
Mouse,Accessories,East,2,1128,94.13
Camera,Electronics,North,4,1728,403.06
Keyboard,Accessories,East,5,875,96.65
Tablet,Electronics,East,7,847,147.71
Tablet,Electronics,South,3,2508,431.53
Headphones,Accessories,East,5,4920,323.38
Smartwatch,Electronics,North,4,3380,211.72
Headphones,Accessories,North,1,445,128.89
Mouse,Accessories,South,5,4200,746.86
Mouse,Accessories,West,1,104,29.67
Camera,Electronics,South,9,9810,1666.96
Keyboard,Accessories,North,9,8370,1525.8
Laptop,Electronics,South,5,4635,769.03
Headphones,Accessories,South,5,270,29.41
Keyboard,Accessories,East,4,3524,998.29
Camera,Electronics,South,2,840,153.61
Tablet,Electronics,West,6,3450,705.74
Printer,Office,South,3,1611,234.84
Headphones,Accessories,South,7,7616,1317.79
Smartphone,Electronics,West,4,2428,485.75
Camera,Electronics,East,5,4485,1324.49
Smartphone,Electronics,North,8,6200,1296.84
Headphones,Accessories,East,9,5283,1550.3
Monitor,Accessories,South,8,1064,190.73
Mouse,Accessories,North,3,369,19.22
Headphones,Accessories,North,2,2258,175.86
Camera,Electronics,West,2,1416,136.75
Keyboard,Accessories,South,4,3496,1032.81
Smartwatch,Electronics,East,1,897,250.78
Keyboard,Accessories,North,7,7679,2270.08
Camera,Electronics,West,9,3699,276.07
Camera,Electronics,East,6,5154,1072.8
Smartphone,Electronics,South,2,1298,204.08
Tablet,Electronics,South,5,1760,272.68
Tablet,Electronics,North,7,1841,496.89
Smartwatch,Electronics,West,8,608,163.18
Smartwatch,Electronics,North,2,2298,343.53
Printer,Office,South,7,5740,1615.9
Laptop,Electronics,East,3,1758,245.92
Tablet,Electronics,East,8,2080,151.14
Camera,Electronics,East,3,1107,65.88
Printer,Office,South,2,1774,322.49
Smartwatch,Electronics,North,2,474,120.91
Printer,Office,East,5,5405,326.56
Printer,Office,North,2,606,154.99
Mouse,Accessories,North,2,1168,172.18
Mouse,Accessories,West,5,5430,310.86
Printer,Office,West,8,7944,1142.83
Mouse,Accessories,West,6,6516,842.83
Keyboard,Accessories,South,1,657,101.85
Mouse,Accessories,West,7,8008,1593.65
Keyboard,Accessories,South,1,189,14.88
Tablet,Electronics,South,3,2103,541.35
Smartwatch,Electronics,South,6,4374,702.62
Smartwatch,Electronics,East,9,5526,595.28
Tablet,Electronics,North,3,1233,361.12
Printer,Office,South,5,5410,1129.77
Tablet,Electronics,East,8,2912,451.97
Printer,Office,North,3,1254,221.19
Headphones,Accessories,North,3,288,77.38
Mouse,Accessories,East,7,5047,1356.23
Headphones,Accessories,West,4,4108,462.17
Monitor,Accessories,South,3,1833,314.79
Headphones,Accessories,South,8,904,181.45
Printer,Office,East,4,2796,682.65
Keyboard,Accessories,South,1,419,108.36
Mouse,Accessories,South,5,1210,201.45
Keyboard,Accessories,West,3,2067,465.39
Keyboard,Accessories,East,4,3528,411.5
Monitor,Accessories,West,2,170,48.69
Keyboard,Accessories,East,1,236,29.33
Headphones,Accessories,East,4,388,35.21
Smartwatch,Electronics,North,6,1242,87.37
Smartwatch,Electronics,South,4,4560,507.87
Smartphone,Electronics,East,9,9117,1780.52
Mouse,Accessories,East,6,4302,957.38
Mouse,Accessories,South,3,1446,356.7
Printer,Office,West,2,2070,183.41
Headphones,Accessories,East,5,4295,414.42
Mouse,Accessories,West,1,916,223.5
Smartphone,Electronics,East,9,8145,2384.42
Camera,Electronics,North,5,410,121.77
Headphones,Accessories,South,9,4752,1415.65
Laptop,Electronics,South,4,260,66.02
Smartwatch,Electronics,North,2,1756,165.6
Mouse,Accessories,South,5,3135,787.7
Tablet,Electronics,East,7,896,219.98
Mouse,Accessories,East,8,4088,853.36
Laptop,Electronics,East,9,8496,2182.42
Smartwatch,Electronics,North,7,1519,403.63
Keyboard,Accessories,South,3,1674,499.63
Tablet,Electronics,West,9,3321,689.64
Mouse,Accessories,South,5,1465,424.64
Mouse,Accessories,East,9,7884,2054.02
Laptop,Electronics,South,3,3285,292.87
Keyboard,Accessories,East,8,3208,840.97
Laptop,Electronics,East,1,166,9.69
Smartwatch,Electronics,South,6,6624,1136.09
Mouse,Accessories,East,4,840,190.13
Smartwatch,Electronics,East,1,890,57.04
Camera,Electronics,East,2,1236,120.74
Headphones,Accessories,South,1,977,103.82
Laptop,Electronics,North,4,328,90.89
Keyboard,Accessories,North,6,6192,316.23
Camera,Electronics,East,6,1728,307.44
Camera,Electronics,West,8,968,271.61
Mouse,Accessories,North,6,4488,939.05
Keyboard,Accessories,West,4,616,175.75
Camera,Electronics,South,5,4280,540.47
Smartwatch,Electronics,North,5,4505,1351.28
Tablet,Electronics,East,1,631,99.31
Smartphone,Electronics,West,8,2680,598.97
Keyboard,Accessories,West,7,3654,670.16
Printer,Office,West,8,432,98.44
Keyboard,Accessories,East,5,1000,292.04
Headphones,Accessories,West,2,1098,239.92
Headphones,Accessories,East,4,2160,631.9
Printer,Office,South,7,2338,531.5
Smartphone,Electronics,East,1,300,45.81
Laptop,Electronics,East,2,358,51.75
Monitor,Accessories,East,6,7140,869.93
Smartphone,Electronics,South,2,1102,176.53
Mouse,Accessories,South,7,1428,289.65
Camera,Electronics,East,6,996,225.75
Laptop,Electronics,South,5,5700,999.26
Tablet,Electronics,South,9,5850,1511.06
Camera,Electronics,East,9,2691,761.16
Laptop,Electronics,East,4,1076,124.56
Smartwatch,Electronics,West,1,946,280.53
Laptop,Electronics,West,2,432,81.31
Printer,Office,East,7,5649,660.37
Smartphone,Electronics,East,2,606,150.95
Laptop,Electronics,East,1,403,72.45
Camera,Electronics,East,4,3368,558.93
Keyboard,Accessories,North,5,3835,229.11
Camera,Electronics,West,8,6336,439.42
Monitor,Accessories,East,6,4944,1335.04
Smartwatch,Electronics,East,1,1001,225.75
Headphones,Accessories,South,8,584,107.27
Keyboard,Accessories,North,2,712,205.53
Tablet,Electronics,East,3,2508,631.85
Smartphone,Electronics,North,1,161,36.58
Smartphone,Electronics,North,2,1270,229.39
Laptop,Electronics,West,8,4624,1313.36
Monitor,Accessories,West,2,1476,195.74
Printer,Office,South,5,3340,845.53
Mouse,Accessories,North,2,596,41.37
Keyboard,Accessories,North,7,3962,491.9
Laptop,Electronics,East,9,8010,763.32
Camera,Electronics,South,6,2982,445.01
Headphones,Accessories,South,1,134,33.12
Keyboard,Accessories,South,5,1455,423.81
Smartphone,Electronics,East,6,612,83.75
Keyboard,Accessories,West,6,3150,498.63
Headphones,Accessories,West,3,312,74.8
Tablet,Electronics,North,6,4332,348.61
Laptop,Electronics,East,4,2896,522.82
Printer,Office,North,8,5616,723.42
Mouse,Accessories,South,1,1162,220.93
Smartwatch,Electronics,North,2,1708,93.25
Monitor,Accessories,North,3,726,94.38
Smartphone,Electronics,West,2,1232,155.52
Smartphone,Electronics,East,7,7567,2213.18
Camera,Electronics,West,6,4296,1240.31
Printer,Office,East,5,4880,1084.69
Printer,Office,West,9,10656,961.3
Camera,Electronics,South,1,1193,153.72
Monitor,Accessories,East,8,2240,313.17
Tablet,Electronics,West,2,1166,170.11
Tablet,Electronics,East,5,480,73.07
Tablet,Electronics,South,5,5865,502.73
Printer,Office,West,9,7506,827.17
Camera,Electronics,South,8,728,120.06
Tablet,Electronics,North,3,2007,160.84
Camera,Electronics,East,9,8586,700.37
Camera,Electronics,South,5,4540,939.71
Mouse,Accessories,East,3,1662,375.04
Smartphone,Electronics,North,1,1184,218.27
Monitor,Accessories,West,8,6160,684.71
Monitor,Accessories,East,7,7791,907.96
Printer,Office,East,7,5635,1665.01
Smartwatch,Electronics,East,1,483,98.15
Monitor,Accessories,North,7,7588,1625.55
Headphones,Accessories,East,3,1992,252.21
Camera,Electronics,North,2,520,61.33
Mouse,Accessories,South,5,5070,986.39
Laptop,Electronics,East,9,963,49.71
Keyboard,Accessories,East,4,2284,576.59
Printer,Office,West,3,1563,221.62
Camera,Electronics,South,1,873,158.97
Headphones,Accessories,West,3,1083,257.44
Smartwatch,Electronics,South,2,390,115.48
Smartwatch,Electronics,South,1,263,69.39
Mouse,Accessories,North,7,7469,589.81
Mouse,Accessories,North,8,2760,156.53
Camera,Electronics,West,2,1492,276.56
Monitor,Accessories,South,2,2314,305.42
Monitor,Accessories,North,8,3032,278.85
Keyboard,Accessories,West,5,5755,1441.84
Smartwatch,Electronics,East,7,2688,603.07
Smartwatch,Electronics,South,3,2187,491.13
Camera,Electronics,East,9,5634,464.71
Headphones,Accessories,North,3,2256,282.52
Tablet,Electronics,West,2,1768,375.86
Smartwatch,Electronics,East,3,1692,348.81
Mouse,Accessories,West,4,1208,351.47
Printer,Office,West,6,2604,305.73
Smartwatch,Electronics,South,4,2128,614.05
Headphones,Accessories,West,5,4025,407.72
Laptop,Electronics,East,2,646,110.13
Keyboard,Accessories,South,8,2128,294.45
Keyboard,Accessories,North,2,1608,170.29
Keyboard,Accessories,East,2,1270,84.29
Camera,Electronics,West,5,250,16.81
Monitor,Accessories,North,2,1214,163.8
Printer,Office,West,2,1874,271.5
Smartphone,Electronics,North,6,4596,1162.75
Printer,Office,South,1,1148,89.04
Camera,Electronics,North,3,924,183.18
Headphones,Accessories,East,4,1964,349.91
Printer,Office,North,1,985,105.09
Laptop,Electronics,South,7,4641,1341.98
Monitor,Accessories,East,9,4968,991.82
Laptop,Electronics,North,9,8460,1201.94
Keyboard,Accessories,West,2,486,64.43
Printer,Office,North,4,3600,623.72
Printer,Office,South,4,1612,240.42
Monitor,Accessories,East,4,2604,411.38
Camera,Electronics,South,8,8720,1984.11
Smartwatch,Electronics,West,8,4288,597.09
Keyboard,Accessories,South,1,713,62.78
Laptop,Electronics,West,8,5272,1188.16
Printer,Office,East,1,1118,319.28
Tablet,Electronics,East,9,4041,963.58
Smartphone,Electronics,West,5,2385,258.6
Monitor,Accessories,North,9,6471,1844.59
Smartwatch,Electronics,West,7,1673,458.32
Headphones,Accessories,East,4,3912,454.89
Smartphone,Electronics,North,3,1674,106.24
Keyboard,Accessories,East,8,8240,2006.72
Monitor,Accessories,South,3,1872,553.1
Headphones,Accessories,North,1,465,26.5
Monitor,Accessories,East,3,2139,503.08
Monitor,Accessories,South,6,7020,726.72
Printer,Office,North,2,112,23.33
Headphones,Accessories,North,2,1022,76.04
Mouse,Accessories,West,8,6080,1171.93
Tablet,Electronics,West,7,847,154.05
Smartwatch,Electronics,East,7,4396,962.61
Mouse,Accessories,West,6,5460,845.75
Smartwatch,Electronics,East,9,1998,343.58
Camera,Electronics,East,5,4235,747.96
Keyboard,Accessories,North,3,942,84.8
Monitor,Accessories,North,8,7728,1748.26
Tablet,Electronics,East,6,3432,452.4
Tablet,Electronics,East,9,5031,1149.48
Smartphone,Electronics,South,9,6417,1100.52
Laptop,Electronics,West,3,3561,206.87
Smartwatch,Electronics,South,4,3236,655.18
Keyboard,Accessories,South,8,1952,444.15
Mouse,Accessories,East,8,416,67.81
Smartphone,Electronics,East,9,3951,908.13
Monitor,Accessories,East,8,2384,444.98
Smartphone,Electronics,West,7,4438,770.3
Camera,Electronics,North,5,4045,203.35
Tablet,Electronics,West,8,1688,337.33
Monitor,Accessories,West,9,2988,447.93
Tablet,Electronics,East,2,846,145.09
Headphones,Accessories,North,8,2416,403.38
Tablet,Electronics,East,5,5160,698.15
Keyboard,Accessories,North,9,5004,1313.13
Printer,Office,North,3,168,45.31
Monitor,Accessories,West,3,3018,320.11
Smartwatch,Electronics,South,9,3429,998.82
Laptop,Electronics,North,9,9621,1201.29
Keyboard,Accessories,South,7,4039,420.29
Keyboard,Accessories,East,7,3997,494.78
Printer,Office,West,3,2547,300.74
Monitor,Accessories,West,8,1272,344.45
Headphones,Accessories,East,9,4221,912.84
Smartwatch,Electronics,North,8,4456,1106.04
Monitor,Accessories,South,4,984,157.72
Smartphone,Electronics,North,3,1119,108.68
Mouse,Accessories,North,1,739,111.18
Laptop,Electronics,North,1,651,57.94
Laptop,Electronics,South,3,1275,168.64
Smartwatch,Electronics,West,4,1680,385.92
Printer,Office,North,6,6444,518.79
Laptop,Electronics,North,6,5310,637.81
Headphones,Accessories,North,5,2240,159.58
Keyboard,Accessories,South,1,166,31.97
Mouse,Accessories,South,5,5730,310.58
Monitor,Accessories,West,4,200,20.25
Smartphone,Electronics,South,4,3520,417.26
Tablet,Electronics,South,9,3096,505.08
Camera,Electronics,North,5,5305,1389.25
Smartphone,Electronics,West,8,8032,1987.82
Smartphone,Electronics,North,3,2655,646.91
Smartwatch,Electronics,North,3,2193,521.14
Mouse,Accessories,East,9,6705,1283.78
Mouse,Accessories,West,5,855,67.57
Camera,Electronics,North,3,2910,765.47
Mouse,Accessories,South,5,3910,584.77
Monitor,Accessories,North,9,4230,221.06
Laptop,Electronics,North,8,8192,2081.72
Headphones,Accessories,East,4,1372,274.47
Camera,Electronics,South,3,777,71.72
Camera,Electronics,West,3,1848,549.34
Headphones,Accessories,North,7,2261,566.36
Keyboard,Accessories,East,9,6507,1045.14
Headphones,Accessories,South,2,2046,394.93
Smartwatch,Electronics,West,2,2314,600.76
Mouse,Accessories,South,3,3504,807.65
Smartwatch,Electronics,South,8,3520,359.84
Monitor,Accessories,East,1,195,57.88
Keyboard,Accessories,South,4,3352,663.15
Printer,Office,South,7,7868,862.38
Laptop,Electronics,East,9,10728,1967.84
Camera,Electronics,North,8,2592,191.66
Smartwatch,Electronics,West,5,990,87.61
Camera,Electronics,West,2,1414,308.39
Tablet,Electronics,West,5,5645,1320.86
Keyboard,Accessories,West,9,8163,2352.46
Laptop,Electronics,North,6,1266,220.5
Keyboard,Accessories,South,4,468,131.48
Keyboard,Accessories,South,9,1881,430.78
Monitor,Accessories,North,6,558,57.01
Headphones,Accessories,South,3,1617,440.46
Keyboard,Accessories,South,3,2010,387.31
Monitor,Accessories,North,4,1100,127.13
Smartphone,Electronics,East,8,8896,1825.26
Keyboard,Accessories,East,9,8640,1963.34
Printer,Office,West,3,258,38.03
Monitor,Accessories,South,6,4566,866.13
Tablet,Electronics,West,6,3402,501.29
Smartwatch,Electronics,North,8,1864,110.81
Smartphone,Electronics,West,1,1104,277.85
Headphones,Accessories,West,9,4041,517.23
Monitor,Accessories,East,8,7040,996.02
Laptop,Electronics,South,1,1028,240.61
Printer,Office,North,5,1255,257.15
Camera,Electronics,North,6,4410,893.27
Headphones,Accessories,North,8,920,214.27
Camera,Electronics,North,5,3475,570.36
Keyboard,Accessories,North,6,3816,623.78
Smartwatch,Electronics,North,5,1025,262.91
Laptop,Electronics,East,5,4170,786.42
Camera,Electronics,South,3,594,47.73
Headphones,Accessories,North,3,1098,144.24
Smartwatch,Electronics,South,9,9729,2039.41
Monitor,Accessories,North,6,5916,544.59
Keyboard,Accessories,West,8,4752,1124.22
Keyboard,Accessories,East,7,497,76.31
Smartphone,Electronics,East,5,3940,755.11
Keyboard,Accessories,East,1,911,155.3
Smartwatch,Electronics,East,6,5292,1105.95
Smartphone,Electronics,West,7,4417,495.37
Camera,Electronics,South,6,4260,504.82
Mouse,Accessories,South,7,3395,1012.78
Camera,Electronics,North,9,513,151.87
Smartwatch,Electronics,West,9,8802,2519.93
Smartphone,Electronics,East,7,4032,742.98
Headphones,Accessories,West,4,3408,856.98
Keyboard,Accessories,South,5,940,56.7
Monitor,Accessories,South,4,1332,342.85
Smartphone,Electronics,South,5,765,157.64
Smartwatch,Electronics,North,1,663,183.82
Camera,Electronics,East,1,569,138.11
Smartwatch,Electronics,West,2,128,8.33
Printer,Office,North,9,7740,605.35
Smartwatch,Electronics,North,2,2370,641.23
Tablet,Electronics,East,4,4120,710.07
Camera,Electronics,North,2,644,45.72
Tablet,Electronics,West,5,5090,1201.56
Printer,Office,South,2,2016,426.43
Mouse,Accessories,South,4,2912,331.11
Printer,Office,West,1,473,43.65
Tablet,Electronics,South,2,2392,483.39
Laptop,Electronics,South,8,1880,486.88
Camera,Electronics,South,6,2604,566.34
Keyboard,Accessories,North,1,868,60.12
Camera,Electronics,West,6,2706,766.68
Monitor,Accessories,South,4,464,47.93
Mouse,Accessories,East,8,6056,1631.71
Tablet,Electronics,South,3,2067,479.39
Smartphone,Electronics,West,1,1041,132.46
Monitor,Accessories,East,3,936,88.51
Tablet,Electronics,South,6,4152,1065.46
Camera,Electronics,East,9,1080,183.42
Camera,Electronics,West,9,10017,1468.72
Smartwatch,Electronics,West,9,3321,540.67
Headphones,Accessories,West,3,2535,292.19
Monitor,Accessories,East,1,847,146.25
Smartwatch,Electronics,West,5,3945,392.09
Headphones,Accessories,North,3,2274,442.57
Tablet,Electronics,West,6,1494,269.25
Headphones,Accessories,North,3,2712,751.52
Keyboard,Accessories,North,1,358,77.84
Monitor,Accessories,East,5,3645,388.31
Mouse,Accessories,West,3,1278,178.78
Printer,Office,South,4,1304,336.95
Camera,Electronics,South,6,828,47.91
Keyboard,Accessories,East,8,7064,745.24
Smartwatch,Electronics,South,8,7600,788.88
Smartwatch,Electronics,North,5,4420,380.69
Camera,Electronics,South,1,54,13.29
Mouse,Accessories,South,6,3384,924.03
Smartphone,Electronics,North,8,3168,747.33
Monitor,Accessories,South,7,1204,317.12
Headphones,Accessories,North,8,5640,747.26
Headphones,Accessories,East,5,1620,325.87
Keyboard,Accessories,South,1,1157,252.08
Printer,Office,North,2,954,71.0
Headphones,Accessories,East,3,3339,732.92
Mouse,Accessories,West,5,3405,476.39
Laptop,Electronics,North,6,3294,359.61
Monitor,Accessories,West,7,1554,370.97
Printer,Office,West,1,75,19.29
Monitor,Accessories,South,8,9296,2581.06
Mouse,Accessories,South,6,1758,262.36
Headphones,Accessories,West,1,423,115.44
Laptop,Electronics,South,4,2008,338.44
Monitor,Accessories,North,5,1850,534.39
Printer,Office,South,6,4434,306.63
